func_name,n_in,arch_str,method,seed,rel_l2_error,wall_time
f1,3,"[3, 10, 1]",input_adaptive,44,0.6035491,14.365742444992065
f1,3,"[3, 10, 1]",input_adaptive,45,0.5042515,15.689282178878784
f1,3,"[3, 10, 1]",input_adaptive,46,0.82690334,14.148690700531006
f1,3,"[3, 10, 1]",curvature_adaptive,44,0.5523761,17.809349298477173
f1,3,"[3, 10, 1]",curvature_adaptive,45,0.4513713,16.30241322517395
f1,3,"[3, 10, 1]",curvature_adaptive,46,0.83245826,18.335821390151978
f2,2,"[2, 10, 1]",input_adaptive,44,0.0004486944,14.022329092025757
f2,2,"[2, 10, 1]",input_adaptive,45,0.00034345096,14.122440814971924
f2,2,"[2, 10, 1]",input_adaptive,46,0.0002129693,15.406438827514648
f2,2,"[2, 10, 1]",curvature_adaptive,44,0.0008518615,15.939630270004272
f2,2,"[2, 10, 1]",curvature_adaptive,45,0.0003168649,17.81008791923523
f2,2,"[2, 10, 1]",curvature_adaptive,46,0.00023576588,15.942585468292236
f3,2,"[2, 10, 1]",input_adaptive,44,1.0150002,15.251262426376343
f3,2,"[2, 10, 1]",input_adaptive,45,0.8828377,14.334657192230225
f3,2,"[2, 10, 1]",input_adaptive,46,0.9413329,15.512835025787354
f3,2,"[2, 10, 1]",curvature_adaptive,44,1.0201437,16.07457399368286
f3,2,"[2, 10, 1]",curvature_adaptive,45,0.7466201,16.94260811805725
f3,2,"[2, 10, 1]",curvature_adaptive,46,0.71756715,16.121052265167236
f4,2,"[2, 10, 1]",input_adaptive,44,0.020757575,14.296792984008789
f4,2,"[2, 10, 1]",input_adaptive,45,0.022433758,15.712598085403442
f4,2,"[2, 10, 1]",input_adaptive,46,0.02186435,14.237834453582764
f4,2,"[2, 10, 1]",curvature_adaptive,44,0.022144007,17.43958067893982
f4,2,"[2, 10, 1]",curvature_adaptive,45,0.021145279,16.05146622657776
f4,2,"[2, 10, 1]",curvature_adaptive,46,0.02168762,17.15310525894165
f5,2,"[2, 10, 1]",input_adaptive,44,0.99990416,14.250101804733276
f5,2,"[2, 10, 1]",input_adaptive,45,0.9999455,15.772024154663086
f5,2,"[2, 10, 1]",input_adaptive,46,0.9999345,15.21039891242981
f5,2,"[2, 10, 1]",curvature_adaptive,44,0.9999335,17.732712030410767
f5,2,"[2, 10, 1]",curvature_adaptive,45,0.99994516,16.11200451850891
f5,2,"[2, 10, 1]",curvature_adaptive,46,0.9999399,17.54895544052124
f6,2,"[2, 10, 1]",input_adaptive,44,0.99998033,16.409812450408936
f6,2,"[2, 10, 1]",input_adaptive,45,0.9999468,14.75229001045227
f6,2,"[2, 10, 1]",input_adaptive,46,0.99994665,17.301492929458618
f6,2,"[2, 10, 1]",curvature_adaptive,44,0.9999781,16.06476330757141
f6,2,"[2, 10, 1]",curvature_adaptive,45,0.99994934,18.438538312911987
f6,2,"[2, 10, 1]",curvature_adaptive,46,0.999947,17.047858953475952
f7,3,"[3, 10, 1]",input_adaptive,44,0.0056440267,16.039408206939697
f7,3,"[3, 10, 1]",input_adaptive,45,0.0073090247,13.837550401687622
f7,3,"[3, 10, 1]",input_adaptive,46,0.0036403183,14.45939302444458
f7,3,"[3, 10, 1]",curvature_adaptive,44,0.005966625,17.335805416107178
f7,3,"[3, 10, 1]",curvature_adaptive,45,0.0039855503,18.325974225997925
f7,3,"[3, 10, 1]",curvature_adaptive,46,0.005413497,16.28843069076538
f8,2,"[2, 10, 1]",input_adaptive,44,0.00054684334,14.786962509155273
f8,2,"[2, 10, 1]",input_adaptive,45,0.00062155345,15.939775466918945
f8,2,"[2, 10, 1]",input_adaptive,46,0.00030774582,14.666106700897217
f8,2,"[2, 10, 1]",curvature_adaptive,44,0.00072340237,17.807864665985107
f8,2,"[2, 10, 1]",curvature_adaptive,45,0.0005185146,16.651184558868408
f8,2,"[2, 10, 1]",curvature_adaptive,46,0.00031590855,18.168182373046875
f9,2,"[2, 10, 1]",input_adaptive,44,0.0007684782,15.30046010017395
f9,2,"[2, 10, 1]",input_adaptive,45,0.0009007061,16.3784019947052
f9,2,"[2, 10, 1]",input_adaptive,46,0.0011865749,15.118074178695679
f9,2,"[2, 10, 1]",curvature_adaptive,44,0.0012033987,17.870935678482056
f9,2,"[2, 10, 1]",curvature_adaptive,45,0.0007349935,16.60092830657959
f9,2,"[2, 10, 1]",curvature_adaptive,46,0.00048079257,19.06118655204773
f10,2,"[2, 10, 1]",input_adaptive,44,0.001066672,15.193203687667847
f10,2,"[2, 10, 1]",input_adaptive,45,0.00041181417,16.79053497314453
f10,2,"[2, 10, 1]",input_adaptive,46,0.0005110881,15.8336923122406
f10,2,"[2, 10, 1]",curvature_adaptive,44,0.00073286664,18.085533380508423
f10,2,"[2, 10, 1]",curvature_adaptive,45,0.00043769702,17.187496662139893
f10,2,"[2, 10, 1]",curvature_adaptive,46,0.00041393144,19.357492923736572
f11,3,"[3, 10, 1]",input_adaptive,44,0.018282281,14.158474922180176
f11,3,"[3, 10, 1]",input_adaptive,45,0.02292307,15.992925882339478
f11,3,"[3, 10, 1]",input_adaptive,46,0.006722153,13.884521961212158
f11,3,"[3, 10, 1]",curvature_adaptive,44,0.016648494,18.75563335418701
f11,3,"[3, 10, 1]",curvature_adaptive,45,0.025620809,15.908482313156128
f11,3,"[3, 10, 1]",curvature_adaptive,46,0.008288116,18.62479305267334
f12,3,"[3, 10, 1]",input_adaptive,44,0.0019314174,14.665668249130249
f12,3,"[3, 10, 1]",input_adaptive,45,0.0025898474,16.240602254867554
f12,3,"[3, 10, 1]",input_adaptive,46,0.002177391,14.352579355239868
f12,3,"[3, 10, 1]",curvature_adaptive,44,0.001938483,18.49262833595276
f12,3,"[3, 10, 1]",curvature_adaptive,45,0.0027701696,16.568905115127563
f12,3,"[3, 10, 1]",curvature_adaptive,46,0.00194526,18.558929204940796
f13,2,"[2, 10, 1]",input_adaptive,44,0.00044917664,18.331647157669067
f13,2,"[2, 10, 1]",input_adaptive,45,0.0007471409,16.24718952178955
f13,2,"[2, 10, 1]",input_adaptive,46,0.00024855667,18.33139705657959
f13,2,"[2, 10, 1]",curvature_adaptive,44,0.00037052782,17.967159032821655
f13,2,"[2, 10, 1]",curvature_adaptive,45,0.0017458991,20.036811113357544
f13,2,"[2, 10, 1]",curvature_adaptive,46,0.00027968414,17.57855224609375
f14,3,"[3, 10, 1]",input_adaptive,44,0.0020748626,15.885231733322144
f14,3,"[3, 10, 1]",input_adaptive,45,0.002686896,14.330775737762451
f14,3,"[3, 10, 1]",input_adaptive,46,0.0014853793,15.782403945922852
f14,3,"[3, 10, 1]",curvature_adaptive,44,0.0017674892,16.788854122161865
f14,3,"[3, 10, 1]",curvature_adaptive,45,0.0028607305,19.933743238449097
f14,3,"[3, 10, 1]",curvature_adaptive,46,0.0014332826,16.99965190887451
f15,3,"[3, 10, 1]",input_adaptive,44,0.0018100555,14.417428493499756
f15,3,"[3, 10, 1]",input_adaptive,45,0.0023477327,14.486211061477661
f15,3,"[3, 10, 1]",input_adaptive,46,0.0023428386,16.020182371139526
f15,3,"[3, 10, 1]",curvature_adaptive,44,0.0016005025,17.029569387435913
f15,3,"[3, 10, 1]",curvature_adaptive,45,0.0023557818,18.639480352401733
f15,3,"[3, 10, 1]",curvature_adaptive,46,0.002111189,20.351064920425415
