a1,a2,arch_str,method,seed,rel_l2_error,wall_time
1.0,1.0,"[2, 6, 6, 1]",input_adaptive,3,0.0135342879220843,61.35049223899841
1.0,1.0,"[2, 6, 6, 1]",input_adaptive,5,0.0301551818847656,59.85798287391663
1.0,1.0,"[2, 6, 6, 1]",input_adaptive,9,0.0183355584740638,60.46630215644837
1.0,1.0,"[2, 6, 6, 1]",curvature_adaptive,3,0.0120654981583356,63.77027463912964
1.0,1.0,"[2, 6, 6, 1]",curvature_adaptive,5,0.0253544580191373,63.84105825424194
1.0,1.0,"[2, 6, 6, 1]",curvature_adaptive,9,0.0114067588001489,64.2333607673645
1.0,2.0,"[2, 6, 6, 1]",input_adaptive,3,0.0667982324957847,60.93986511230469
1.0,2.0,"[2, 6, 6, 1]",input_adaptive,5,0.0782941058278083,61.2114143371582
1.0,2.0,"[2, 6, 6, 1]",input_adaptive,9,0.0564651675522327,61.49943971633911
1.0,2.0,"[2, 6, 6, 1]",curvature_adaptive,3,0.064695805311203,64.42907309532166
1.0,2.0,"[2, 6, 6, 1]",curvature_adaptive,5,0.0704849436879158,64.82817888259888
1.0,2.0,"[2, 6, 6, 1]",curvature_adaptive,9,0.0640315786004066,62.97749400138855
2.0,2.0,"[2, 6, 6, 1]",input_adaptive,3,0.1882307678461074,58.8813066482544
2.0,2.0,"[2, 6, 6, 1]",input_adaptive,5,0.2943191230297088,61.78719854354858
2.0,2.0,"[2, 6, 6, 1]",input_adaptive,9,0.2171291261911392,63.535722732543945
2.0,2.0,"[2, 6, 6, 1]",curvature_adaptive,3,0.1746718883514404,63.903932094573975
2.0,2.0,"[2, 6, 6, 1]",curvature_adaptive,5,0.1285460740327835,66.66405987739563
2.0,2.0,"[2, 6, 6, 1]",curvature_adaptive,9,0.1570901721715927,62.9743447303772
2.0,4.0,"[2, 6, 6, 1]",input_adaptive,3,1.2337486743927002,60.43292212486267
2.0,4.0,"[2, 6, 6, 1]",input_adaptive,5,0.5575923919677734,60.55116772651672
2.0,4.0,"[2, 6, 6, 1]",input_adaptive,9,1.082963943481445,60.755069732666016
2.0,4.0,"[2, 6, 6, 1]",curvature_adaptive,3,0.7786401510238647,63.9489221572876
2.0,4.0,"[2, 6, 6, 1]",curvature_adaptive,5,0.7284005284309387,64.18930149078369
2.0,4.0,"[2, 6, 6, 1]",curvature_adaptive,9,0.9481536149978638,64.69370675086975
